學習,hok6-zaap6,learn,4,3
重要,zung6-jiu3,important,4,1
技能,gei6-nang4,skill,4,1
越多,jyut6-do1,more,4,1
第日,dai6-jat6,in the future,4,1
操作,cou1-zok3,control,4,1
交通,gaau1-tung1,traffic,4,1
規則,kwai1-zak1,rule,4,1
路線,lou6-sin3,route,4,1
乘客,sing4-haak3,passenger,4,1
碎銀,seoi3-ngan2,coins,4,1
又要,jau6-jiu3,also need,4,1
計數,gai3-sou3,calculate,4,1
投訴,tau4-sou3,complaint,4,1
溝通,kau1-tung1,communicate,4,1
怕,paa3,to fear,4,1
就算,zau6-syun3,even if,4,2
成長,sing4-zoeng2,grow up,4,1
學到,hok6-dou3,learnt,4,3
咁上下,gam3-soeng6-haa2,approximately,4,1
興趣,hing3-ceoi3,interest,4,1
變成,bin3-sing4,become,4,3
個月,go3-jyut6,month,4,2
基本,gei1-bun2,basic,4,1
再講,zoi3-gong2,say again,4,1
茶點,caa4-dim2,afternoon tea,4,1
跟,gan1,follow,4,3
唔使驚,m4-sai2-geng1,don't be afraid,4,1
陪住,pui4-zyu6,accompany,4,1
睇實,tai2-sat6,take care,4,1
或者,waak6-ze2,or,4,5
需要,seoi1-jiu3,in need,4,3
鼓勵,gu2-lai6,encourage,4,1
每日,mui5-jat6,every day,4,2
安排,on1-paai4,arrange,4,1
活動,wut6-dung6,activities,4,1
例如,lai6-jyu4,for example,4,3
故仔,gu2-zai2,story,4,1
玩遊戲,waan2-jau4-hei3,play games,4,1
唔止,m4-zi2,not only,4,2
每個,mui5-go3,every,4,1
做運動,zou6-wan6-dung6,play sports,4,1
勞作,lou4-zok3,craft,4,1
返畀,faan1-bei2,back to,4,1
分組,fan1-zou2,divide in groups,4,1
組,zou2,group,4,1
分享,fan1-hoeng2,share,4,1
玩法,waan2-faat3,playing rule,4,1
你嘅,nei5-ge3,you,4,1
規矩,kwai1-geoi2,rule,4,1
遵守,zeon1-sau2,follow,4,1
排隊,paai4-deoi2,line up,4,1
保持,bou2-ci4,keep,4,3
安靜,on1-zing6,quiet,4,1
走廊,zau2-long2,aisle,4,1
多好,do1-hou2,more,4,1
有多,jau5-do1,have more,4,1
守,sau2,follow,4,1
唔好嘈,m4-hou2-cou4,shut up,4,1
諗吓,nam2-haa5,think about,4,1
着想,zoek6-soeng2,consider,4,1
合作,hap6-zok3,cooperate,4,1
做好,zou6-hou2,do well,4,1
今晚,gam1-maan5,tonight,4,1
幫手,bong1-sau2,help,4,4
你呢,nei5-ne1,How about you,4,2
我唔知,ngo5-m4-zi1,I don't know,4,1
努力,nou5-lik6,hardworking,4,5
拯救,cing2-gau3,save,4,1
換衫,wun6-saam1,change clothes,4,1
衫褲,saam1-fu3,clothing,4,1
鈕扣,nau2-kau3,button,4,1
沖廁,cung1-ci3,flush the toilet,4,1
抹,maat3,wipe,4,1
屁股,pei3-gu2,buttocks,4,1
皂,gaan2,soap,4,1
液,jik6,liquid,4,1
洗手,sai2-sau2,wash hands,4,1
離,lei4,apart from,4,1
水喉,seoi2-hau4,water tap,4,1
盆,pun4,sink,4,1
自己做,zi6-gei2-zou6,do it yourself,4,1
能力,nang4-lik6,ability,4,1
不斷,bat1-dyun6,continuously,4,1
成功,sing4-gung1,succeed,4,1
眼中,ngaan5-zung1,in their mind,4,1
小超人,siu2-ciu1-jan4,little superman,4,1
更多,gang3-do1,further more,4,2
加油,gaa1-jau2,try my best,4,1
忙,mong4,busy,4,1
計,gai3,plan,4,1
熊人,hung4-jan2,bear,4,1
滴,dik6,drip,4,1
蜜糖,mat6-tong4,honey,4,1
西瓜,sai1-gwaa1,watermelon,4,1
起嚟,hei2-lai4,(particle),4,2
楷,kaai2,slice of,4,1
顏料,ngaan4-liu2,pigment,4,1
瞓低,fan3-dai1,lie down,4,1
就係噉樣,zau6-hai6-gam2-joeng2,as a result,4,1
工人,gung1-jan4,worker,4,1
唔轉,m4-zyun3,don't roll,4,1
kick到,kik1-dou2,trip,4,1
甩,lat1,fall off,4,2
又試,jau6-si3,again,4,1
波波,bo1-bo1,ball,4,1
眼界,ngaan5-gaai3,vision,4,1
差,caa1,bad,4,1
掟,deng3,throw,4,2
鼓,gu2,drum,4,1
唔錯,m4-co3,not bad,4,1
練習,lin6-zaap6,to practise,4,2
捲,gyun2,roll up,4,1
毛冷,mou4-laang1,knitting yarn,4,1
羊仔,joeng4-zai2,little sheep,4,1
紙鷂,zi2-jiu2,kite,4,1
笑話,siu3-waa2,jokes,4,1
流血,lau4-hyut3,bleed,4,1
刀,dou1,knife,4,1
斬,zaam2,chop,4,4
偉俊,wai5-zeon3,Wai Chun,4,35
切到,cit3-dou2,cut,4,1
傷口,soeng1-hau2,wound,4,1
血,hyut3,blood,4,1
另,ling6,another,4,1
撳住,gam6-zyu6,pressing,4,1
用力,jung6-lik6,hard,4,1
止,zi2,stop,4,1
999,gau2-gau2-gau2,999,4,3
醫院,ji1-jyun2,hospital,4,5
縫,fung4,sew,4,1
大量,daai6-loeng6,plenty,4,1
位置,wai6-zi3,location,4,1
儘快,zeon6-faai3,as soon as possible,4,2
衣服,ji1-fuk6,clothing,4,1
哮喘,haau1-cyun2,asthma,4,1
發作,faat3-zok3,attack,4,1
場景,coeng4-ging2,Scene,4,3
操場,cou1-coeng4,playground,4,1
志明,zi3-ming4,Chi Ming,4,12
喘,cyun2,gasping,4,1
休息,jau1-sik1,take a break,4,1
冇嘢,mou5-je5,fine,4,1
唞唔到,tau2-m4-dou2,cannot breathe,4,1
氣,hei3,air,4,2
點頭,dim2-tau4,nod,4,3
休息下,jau1-sik1-haa5,take a break,4,1
藥,joek6,medicine,4,8
更衣室,gang1-ji1-sat1,changing room,4,1
吸入器,kap1-jap6-hei3,inhaler,4,1
使用,sai2-jung6,use,4,1
需唔需要,seoi1-m4-seoi1-jiu3,need or not need,4,1
噴,pan3,spray,4,2
幫助,bong1-zo6,help,4,3
反應,faan2-jing3,reaction,4,7
家,gaa1,home,4,5
應聲,jing3-seng1,respond,4,1
四處,sei3-cyu3,everywhere,4,1
張望,zoeng1-mong6,look,4,1
應,jing3,respond,4,1
唔通,m4-tung1,could it be,4,1
倒,dou2,fall,4,6
卧,ngo6,lie,4,1
面色,min6-sik1,complexion,4,1
蒼白,cong1-baak6,pale,4,1
胸口,hung1-hau2,chest,4,4
起伏,hei2-fuk6,rise and fall,4,4
埋去,maai4-heoi3,over,4,1
聽唔聽到,teng1-m4-teng1-dou2,can hear or not,4,1
鄰居,leon4-geoi1,neighbour,4,1
經過,ging1-gwo3,pass by,4,3
叫聲,giu3-sing1,scream,4,2
急救,gap1-gau3,first aid,4,1
檢查,gim2-caa4,examine,4,1
動脈,dung6-mak6,artery,4,1
脈搏,mak6-bok3,pulse,4,1
觀察,gun1-caat3,observe,4,2
以,ji5,to,4,1
立即,lap6-zik1,immediately,4,1
救護車,gau3-wu6-ce1,ambulance,4,1
管理處,gun2-lei5-cyu3,management office,4,1
自動體外心臟去顫器,zi6-dung6-tai2-ngoi6-sam1-zong6-heoi3-zin3-hei3,Automated External Defibrillator (AED),4,1
心外壓,sam1-ngoi6-aat3,chest compression,4,1
救護員,gau3-wu6-jyun4,first responder,4,8
到場,dou3-coeng4,arrive,4,2
接手,zip3-sau2,takeover,4,1
進行,zeon3-hang4,carry out,4,1
孫,syun1,grandson,4,1
身份證,san1-fan2-zing3,identity card,4,3
登記返,dang1-gei3-faan2,register,4,1
資料,zi1-liu2,information,4,3
遞上,dai6-soeng5,hand over,4,2
幾時,gei2-si4,when,4,4
失去,sat1-heoi3,lose,4,1
意識,ji3-sik1,consciousness,4,2
半,bun3,half,4,1
長期疾病,coeng4-kei4-zat6-beng6,chronic disease,4,2
血壓,hyut3-aat3,blood pressure,4,1
糖尿病,tong4-niu6-beng6,diabetes,4,2
心臟病,sam1-zong6-beng6,heart disease,4,2
曾經,cang4-ging1,once,4,1
中過風,zung1-gwo3-fung1,had stroke,4,1
遞,dai6,hand over,4,2
往,wong5,to,4,2
並且,bing6-ce2,and,4,1
穎兒,wing6-ji4,Wing Yi,4,1
鋪,pou1,round,4,1
暈,wan4,faint,4,1
回應,wui4-jing3,response,4,1
咩事,me1-si6,what,4,1
極,gik6,very,4,1
登記,dang1-gei3,register,4,1
貧血,pan4-hyut3,anaemia,4,1
問返,man6-faan2,ask,4,1
倒卧,dou2-ngo6,lie,4,1
一月,jat1-jyut6,January,4,1
一號,jat1-hou6,the first,4,1
日子,jat6-zi2,date,4,1
叫住,giu3-zyu6,stop,4,1
疫情,jik6-cing4,pandemic,4,1
嚴重,jim4-zung6,serious,4,1
依,ji1,this,4,1
習慣,zaap6-gwaan3,habit,4,1
生意,saang1-ji3,business,4,1
忟憎,mang2-zang2,irritable,4,1
上年,soeng6-nin2,last year,4,2
幫幫手,bong1-bong1-sau2,help,4,1
就連,zau6-lin4,even,4,1
COVID-19,COVID-19,COVID-19,4,1
諗一諗,nam2-jat1-nam2,think,4,1
試吓,si3-haa5,try,4,1
試過,si3-gwo3,tried,4,1
假期,gaa3-kei4,holiday,4,1
一家大細,jat1-gaa1-daai6-sai3,the whole family,4,1
設計,cit3-gai3,design,4,1
髮型,faat3-jing4,hairstyles,4,1
幫埋手,bong1-maai4-sau2,also give a hand,4,1
風扇,fung1-sin3,electric fan,4,1
一下,jat1-haa5,a bit,4,2
社交,se5-gaau1,social,4,1
距離,keoi5-lei4,distance,4,1
唔行,m4-haang4,don't walk,4,1
醒起,sing2-hei2,realised,4,1
口罩,hau2-zaau3,face mask,4,1
聽住,teng1-zyu6,hear,4,1
自私,zi6-si1,selfish,4,1
為咗,wai6-zo2,in order to,4,2
米,mai5,meter,4,1
工作,gung1-zok3,job,4,1
困難,kwan3-naan4,difficulty,4,1
身為,san1-wai4,as,4,1
社會,se5-wui2,society,4,1
一分子,jat1-fan6-zi2,member,4,1
自願,zi6-jyun6,voluntary,4,1
捐出,gyun1-ceot1,donate,4,1
身家,san1-gaa1,fortune,4,1
病毒,beng6-duk6,virus,4,1
經,ging1,through,4,1
空氣,hung1-hei3,air,4,3
傳播,cyun4-bo3,spread,4,1
傳媒,cyun4-mui4,media,4,1
關注,gwaan1-zyu3,to pay attention to,4,1
令到,ling6-dou3,cause,4,1
防,fong4,prevent,4,1
疫,jik6,pandemic,4,1
用品,jung6-ban2,products,4,1
市民,si5-man4,citizens,4,1
希望,hei1-mong6,hope,4,2
好返,hou2-faan1,get well,4,1
責任,zaak3-jam6,responsibility,4,1
唔好返,m4-hou2-faan1,don't get well,4,1
唔剪,m4-zin2,don't cut,4,1
歡迎,fun1-jing4,welcome,4,1
之,zi1,'s,4,1
城,sing4,city,4,1
母,mou5,mother,4,1
傾偈,king1-gai2,chat,4,1
聽下,teng1-haa5,hear,4,1
同一,tung4-jat1,the same,4,2
種族,zung2-zuk6,race,4,1
不利,bat1-lei6,disadvantageous,4,1
嬲嬲地,nau1-nau1-dei2,angrily,4,1
清,cing1,clear,4,1
另一,ling6-jat1,another,4,1
鬧交,naau6-gaau1,quarrel,4,1
唔值得,m4-zik6-dak1,not worth,4,1
制,zai3,agree,4,1
唔聽話,m4-teng1-waa6,not obey,4,1
塊,faai3,piece of,4,1
憎,zang1,hate,4,1
唔諗下,m4-nam2-haa5,don't think,4,1
感受,gam2-sau6,feeling,4,1
眼紅紅,ngaan5-hung4-hung4,red eyes,4,1
畫下,waak6-haa5,draw,4,1
圈圈,hyun1-hyun1,circle,4,1
